Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SokobanLearning,0.748,3.585,1.822,258,-0.674
SokobanLearning,0.527,5.753,1.431,259,-0.914
SokobanLearning,0.524,7.944,1.447,260,-0.940
SokobanLearning,0.528,10.123,1.420,257,-0.915
SokobanLearning,0.529,12.355,1.482,261,-0.936
SokobanLearning,0.526,14.513,1.416,257,-0.922
SokobanLearning,0.530,16.706,1.436,260,-0.935
SokobanLearning,0.533,18.877,1.419,257,-0.946
SokobanLearning,0.529,21.001,1.392,260,-0.943
SokobanLearning,0.529,23.201,1.457,260,-0.954
SokobanLearning,0.527,25.526,1.568,260,-0.962
SokobanLearning,0.527,28.278,2.010,262,-0.953
SokobanLearning,0.527,30.373,1.368,258,-0.958
SokobanLearning,0.528,32.571,1.444,257,-0.953
SokobanLearning,0.537,34.762,1.435,262,-0.957
SokobanLearning,0.539,37.015,1.490,260,-0.962
SokobanLearning,0.570,39.269,1.462,261,-0.925
SokobanLearning,0.538,41.522,1.499,259,-0.931
SokobanLearning,0.540,43.628,1.356,261,-0.935
SokobanLearning,0.519,45.782,1.431,260,-0.932
SokobanLearning,0.534,47.898,1.382,260,-0.954
SokobanLearning,0.523,50.074,1.448,258,-0.941
SokobanLearning,0.559,52.231,1.404,262,-0.937
SokobanLearning,0.523,54.484,1.511,261,-0.939
SokobanLearning,0.527,56.623,1.389,261,-0.939
SokobanLearning,0.520,58.822,1.475,259,-0.926
SokobanLearning,0.553,61.163,1.570,262,-0.927
SokobanLearning,0.537,63.852,1.915,258,-0.931
SokobanLearning,0.544,66.657,2.010,259,-0.929
SokobanLearning,0.570,69.250,1.798,259,-0.931
SokobanLearning,0.527,71.393,1.421,262,-0.934
SokobanLearning,0.547,73.950,1.795,260,-0.930
SokobanLearning,0.529,76.346,1.653,262,-0.928
SokobanLearning,0.522,78.475,1.430,257,-0.926
SokobanLearning,0.532,80.985,1.751,259,-0.923
SokobanLearning,0.533,83.399,1.649,258,-0.920
SokobanLearning,0.532,85.811,1.653,260,-0.918
SokobanLearning,0.534,88.231,1.676,261,-0.922
SokobanLearning,0.529,90.542,1.568,259,-0.922
SokobanLearning,0.531,92.869,1.570,261,-0.921
SokobanLearning,0.532,95.181,1.546,261,-0.921
SokobanLearning,0.528,97.548,1.610,259,-0.916
SokobanLearning,0.526,99.826,1.539,258,-0.916
SokobanLearning,0.541,102.123,1.543,258,-0.910
SokobanLearning,0.538,104.386,1.525,258,-0.907
SokobanLearning,0.531,106.548,1.435,258,-0.910
SokobanLearning,0.537,108.937,1.638,259,-0.912
SokobanLearning,0.527,111.127,1.461,262,-0.915
SokobanLearning,0.527,113.306,1.438,259,-0.916
SokobanLearning,0.553,115.524,1.467,261,-0.914
SokobanLearning,0.524,117.598,1.340,257,-0.914
SokobanLearning,0.529,119.981,1.622,259,-0.902
SokobanLearning,0.525,122.191,1.481,261,-0.907
SokobanLearning,0.525,124.345,1.446,260,-0.904
SokobanLearning,0.530,126.655,1.552,262,-0.901
SokobanLearning,0.523,128.748,1.371,260,-0.900
SokobanLearning,0.526,130.933,1.459,257,-0.898
SokobanLearning,0.528,133.127,1.443,259,-0.890
SokobanLearning,0.550,135.273,1.381,257,-0.891
SokobanLearning,0.523,137.470,1.479,257,-0.892
SokobanLearning,0.523,139.555,1.356,260,-0.891
SokobanLearning,0.531,141.890,1.592,259,-0.896
SokobanLearning,0.541,144.263,1.602,262,-0.895
SokobanLearning,0.522,146.484,1.483,260,-0.898
SokobanLearning,0.526,148.627,1.403,261,-0.902
SokobanLearning,0.524,150.790,1.422,258,-0.902
SokobanLearning,0.522,153.011,1.475,258,-0.906
SokobanLearning,0.522,155.183,1.472,262,-0.899
SokobanLearning,0.524,157.344,1.446,259,-0.901
SokobanLearning,0.557,159.585,1.461,260,-0.903
SokobanLearning,0.522,161.719,1.423,262,-0.905
SokobanLearning,0.523,163.915,1.458,260,-0.906
SokobanLearning,0.522,166.100,1.454,261,-0.905
SokobanLearning,0.524,168.251,1.425,260,-0.903
SokobanLearning,0.533,170.435,1.440,260,-0.903
SokobanLearning,0.525,172.636,1.480,258,-0.902
SokobanLearning,0.533,174.971,1.588,261,-0.901
SokobanLearning,0.531,177.108,1.390,261,-0.900
SokobanLearning,0.537,179.128,1.291,260,-0.900
SokobanLearning,0.539,181.812,1.926,257,-0.900
SokobanLearning,0.539,184.515,1.939,259,-0.900
SokobanLearning,0.535,187.205,1.914,261,-0.899
SokobanLearning,0.536,189.899,1.925,259,-0.900
SokobanLearning,0.528,192.392,1.771,260,-0.898
SokobanLearning,0.526,194.693,1.573,258,-0.898
SokobanLearning,0.531,196.712,1.302,257,-0.895
SokobanLearning,0.523,198.859,1.407,262,-0.895
SokobanLearning,0.526,201.083,1.475,259,-0.897
SokobanLearning,0.525,203.312,1.498,259,-0.898
SokobanLearning,0.537,205.687,1.632,261,-0.896
SokobanLearning,0.526,207.663,1.261,260,-0.895
SokobanLearning,0.533,210.294,1.902,257,-0.894
SokobanLearning,0.523,212.304,1.288,260,-0.893
SokobanLearning,0.526,214.469,1.432,259,-0.894
SokobanLearning,0.524,216.580,1.389,259,-0.892
SokobanLearning,0.523,218.719,1.404,260,-0.891
SokobanLearning,0.522,220.871,1.427,260,-0.889
SokobanLearning,0.527,223.058,1.459,262,-0.886
SokobanLearning,0.523,225.224,1.466,258,-0.885
SokobanLearning,0.528,227.343,1.396,260,-0.884
SokobanLearning,0.527,229.539,1.478,257,-0.883
SokobanLearning,0.525,231.558,1.286,260,-0.882
SokobanLearning,0.527,233.666,1.373,257,-0.880
SokobanLearning,0.526,235.887,1.477,260,-0.880
SokobanLearning,0.525,238.067,1.453,262,-0.878
SokobanLearning,0.529,240.223,1.419,258,-0.878
SokobanLearning,0.524,242.364,1.434,260,-0.878
SokobanLearning,0.533,244.532,1.427,257,-0.876
SokobanLearning,0.534,246.759,1.480,260,-0.876
SokobanLearning,0.531,248.987,1.485,260,-0.875
SokobanLearning,0.527,251.192,1.472,260,-0.875
SokobanLearning,0.534,253.497,1.553,259,-0.872
SokobanLearning,0.528,255.780,1.536,260,-0.871
SokobanLearning,0.529,258.566,2.050,260,-0.869
SokobanLearning,0.521,260.499,1.231,260,-0.868
SokobanLearning,0.523,262.615,1.377,260,-0.867
SokobanLearning,0.519,264.749,1.415,260,-0.865
SokobanLearning,0.524,266.931,1.447,260,-0.863
SokobanLearning,0.525,269.143,1.458,262,-0.861
SokobanLearning,0.524,271.345,1.456,260,-0.861
SokobanLearning,0.526,273.547,1.454,259,-0.860
SokobanLearning,0.529,275.709,1.428,260,-0.861
SokobanLearning,0.526,277.939,1.478,262,-0.859
SokobanLearning,0.521,280.098,1.449,260,-0.852
SokobanLearning,0.525,282.274,1.436,260,-0.850
SokobanLearning,0.524,284.442,1.424,258,-0.848
SokobanLearning,0.523,286.551,1.392,260,-0.848
SokobanLearning,0.527,288.723,1.419,260,-0.846
SokobanLearning,0.524,290.919,1.448,262,-0.846
SokobanLearning,0.524,293.141,1.468,259,-0.844
SokobanLearning,0.519,295.307,1.440,262,-0.843
SokobanLearning,0.526,297.451,1.426,260,-0.841
SokobanLearning,0.529,299.661,1.454,261,-0.835
SokobanLearning,0.529,301.891,1.488,262,-0.834
SokobanLearning,0.525,304.099,1.456,261,-0.833
SokobanLearning,0.528,306.257,1.439,258,-0.833
SokobanLearning,0.526,308.425,1.458,260,-0.831
SokobanLearning,0.526,310.625,1.476,257,-0.830
SokobanLearning,0.522,312.802,1.440,260,-0.828
SokobanLearning,0.526,315.015,1.464,262,-0.826
SokobanLearning,0.525,317.199,1.440,260,-0.825
SokobanLearning,0.527,319.427,1.481,260,-0.823
SokobanLearning,0.527,321.660,1.486,262,-0.821
SokobanLearning,0.526,323.845,1.438,260,-0.820
SokobanLearning,0.521,326.017,1.469,261,-0.819
SokobanLearning,0.526,328.184,1.428,260,-0.817
SokobanLearning,0.529,330.368,1.443,260,-0.816
SokobanLearning,0.528,332.580,1.480,262,-0.813
SokobanLearning,0.529,334.753,1.436,260,-0.812
SokobanLearning,0.523,336.983,1.494,260,-0.810
SokobanLearning,0.524,339.220,1.506,262,-0.807
SokobanLearning,0.527,341.486,1.501,260,-0.805
SokobanLearning,0.531,343.716,1.496,258,-0.805
SokobanLearning,0.531,345.979,1.503,260,-0.804
SokobanLearning,0.619,348.324,1.503,260,-0.802
SokobanLearning,0.547,350.572,1.493,262,-0.800
SokobanLearning,0.537,352.912,1.562,262,-0.799
SokobanLearning,0.529,355.180,1.522,260,-0.797
SokobanLearning,0.524,357.380,1.459,260,-0.796
SokobanLearning,0.529,359.578,1.458,262,-0.793
SokobanLearning,0.520,361.737,1.438,261,-0.792
SokobanLearning,0.519,363.919,1.452,260,-0.791
SokobanLearning,0.524,366.140,1.479,262,-0.790
SokobanLearning,0.522,368.297,1.433,261,-0.789
SokobanLearning,0.519,370.497,1.485,259,-0.788
SokobanLearning,0.526,372.712,1.470,261,-0.788
SokobanLearning,0.529,374.903,1.443,260,-0.786
SokobanLearning,0.523,377.078,1.461,260,-0.785
SokobanLearning,0.529,379.294,1.467,262,-0.782
SokobanLearning,0.534,381.576,1.509,260,-0.781
SokobanLearning,0.533,383.839,1.513,260,-0.780
SokobanLearning,0.523,386.077,1.509,262,-0.777
SokobanLearning,0.522,388.249,1.430,260,-0.776
SokobanLearning,0.523,390.427,1.447,257,-0.775
SokobanLearning,0.522,392.602,1.446,260,-0.773
SokobanLearning,0.526,394.820,1.472,262,-0.771
SokobanLearning,0.524,397.027,1.473,261,-0.770
SokobanLearning,0.529,399.235,1.469,261,-0.769
SokobanLearning,0.522,401.412,1.460,260,-0.768
SokobanLearning,0.528,403.617,1.462,259,-0.766
SokobanLearning,0.522,405.789,1.435,257,-0.765
SokobanLearning,0.521,407.951,1.431,260,-0.764
SokobanLearning,0.522,410.094,1.449,262,-0.764
SokobanLearning,0.523,412.321,1.491,261,-0.762
SokobanLearning,0.525,414.518,1.446,260,-0.761
SokobanLearning,0.527,416.721,1.458,261,-0.760
SokobanLearning,0.524,418.958,1.494,262,-0.758
SokobanLearning,0.524,421.156,1.453,260,-0.757
SokobanLearning,0.521,423.339,1.442,260,-0.756
SokobanLearning,0.525,425.491,1.416,258,-0.755
